iter	Passed	Remaining
0	3198	1595882
1	4573	1138727
2	5979	990601
3	7487	928404
4	8970	888069
5	10234	842640
6	11583	815838
7	13043	802177
8	14260	778001
9	15790	773724
10	17007	756081
11	18359	746623
12	19864	744154
13	21216	736519
14	22767	736156
15	24085	728584
16	25270	717977
17	26666	714059
18	28039	709846
19	29189	700541
20	30486	695393
21	31605	686698
22	32834	680956
23	34153	677376
24	35360	671848
25	36789	670698
26	38340	671670
27	39991	674142
28	41644	676357
29	43151	676036
30	44655	675601
31	45942	671902
32	47006	665216
33	48203	660677
34	49289	654840
35	50573	651835
36	52078	651689
37	53363	648789
38	54922	649217
39	56233	646688
40	57751	646535
41	59113	644622
42	60553	643557
43	61884	641347
44	63157	638594
45	64409	635692
46	65758	633798
47	66977	630700
48	68441	629938
49	69803	628230
50	71200	626839
51	72606	625534
52	73868	623004
53	75186	620986
54	76577	619584
55	77920	617795
56	79171	615316
57	80290	611865
58	81563	609653
59	82881	607796
60	84278	606528
61	85960	607269
62	87278	605408
63	88631	603805
64	89970	602109
65	91210	599779
66	92440	597410
67	93782	595796
68	95574	596994
69	97203	597106
70	98629	595945
71	100138	595269
72	101547	593983
73	103173	593946
74	104544	592420
75	105722	589822
76	107073	588207
77	108457	586780
78	109608	584116
79	110926	582363
80	112422	581541
81	113729	579745
82	115225	578901
83	116330	576110
84	117525	573803
85	119032	573017
86	120414	571624
87	121534	569002
88	122842	567285
89	124184	565731
90	125602	564522
91	126965	563063
92	128394	561897
93	129579	559671
94	130997	558463
95	132337	556921
96	133710	555520
97	135274	554901
98	136470	552776
99	137755	551022
100	139165	549774
101	140363	547693
102	141692	546134
103	143032	544623
104	144250	542657
105	145546	540993
106	146986	539866
107	148271	538169
108	149610	536675
109	150963	535232
110	152245	533546
111	153620	532185
112	154917	530557
113	156246	529044
114	157575	527536
115	158802	525690
116	160000	523761
117	161306	522194
118	162734	521024
119	164099	519647
120	165462	518265
121	166711	516531
122	168262	515731
123	169582	514217
124	170915	512746
125	172317	511482
126	173469	509480
127	174722	507786
128	176070	506374
129	178059	506785
130	179963	506920
