iter	RMSE
0	2.371678193
1	2.273215897
2	2.189726595
3	2.117927637
4	2.056149235
5	2.002610148
6	1.957468667
7	1.918470262
8	1.885663846
9	1.858603203
10	1.834991333
11	1.81472516
12	1.797719136
13	1.782313855
14	1.769684255
15	1.758914558
16	1.749803318
17	1.741803126
18	1.73489411
19	1.729158647
20	1.724116676
21	1.719330679
22	1.715807155
23	1.712757228
24	1.709801082
25	1.707445175
26	1.705114961
27	1.703324816
28	1.701545681
29	1.700192904
30	1.698653293
31	1.697602615
32	1.696460949
33	1.695448688
34	1.694501619
35	1.693706192
36	1.692973219
37	1.692358381
38	1.69166415
39	1.691209079
40	1.690734488
41	1.690279195
42	1.689869055
43	1.689278221
44	1.688839842
45	1.688397083
46	1.688012053
47	1.687672733
48	1.687411629
49	1.687143692
50	1.686872298
51	1.686560146
52	1.686252131
53	1.686050119
54	1.685795623
55	1.685584623
56	1.685419969
57	1.685203067
58	1.684979131
59	1.684844041
60	1.684708818
61	1.684468242
62	1.684320973
63	1.684128869
64	1.683977575
65	1.683766784
66	1.683637842
67	1.683430155
68	1.683210725
69	1.683077574
70	1.682946033
71	1.68279671
72	1.682575262
73	1.68240625
74	1.682261024
75	1.682113516
76	1.681915097
77	1.681830063
78	1.681719717
79	1.681611396
80	1.681492592
81	1.681274145
82	1.681048712
83	1.680964735
84	1.680815665
85	1.680677419
86	1.680553502
87	1.680445475
88	1.680366247
89	1.680280327
90	1.680189006
91	1.680012337
92	1.679875068
93	1.679799395
94	1.67969744
95	1.679585388
96	1.679473057
97	1.679360812
98	1.679240919
99	1.679119519
100	1.67901925
101	1.678872256
102	1.678790919
103	1.678656302
104	1.678531527
105	1.678468699
106	1.678397095
107	1.678311916
108	1.67825437
109	1.678199001
110	1.678055033
111	1.677999691
112	1.677949505
113	1.677847653
114	1.677739277
115	1.677604994
116	1.677500516
117	1.67741159
118	1.677313803
119	1.677234345
120	1.677121427
121	1.677074846
122	1.676998094
123	1.676934736
124	1.676855694
125	1.676765247
126	1.676723806
127	1.676626084
128	1.67655321
129	1.676424656
130	1.676363614
131	1.676264402
132	1.676194291
133	1.676038013
134	1.67598029
135	1.675899925
136	1.67578653
137	1.675741205
138	1.675681975
139	1.675543781
140	1.675491907
141	1.675388193
142	1.67529015
143	1.675205682
144	1.675146522
145	1.675074957
146	1.675034084
147	1.674974019
148	1.674900534
149	1.6747796
150	1.674719647
151	1.674659365
152	1.674581498
153	1.674515177
154	1.674403287
155	1.674308904
156	1.674262184
157	1.674214149
158	1.674142596
159	1.674078079
160	1.674007894
161	1.673972374
162	1.673914751
163	1.673842965
164	1.673788973
165	1.673745119
166	1.673651027
167	1.673592953
168	1.673511719
169	1.673435894
170	1.673383959
171	1.673331317
172	1.673290759
173	1.673240705
174	1.67316931
175	1.673118385
176	1.67307163
177	1.673028419
178	1.672951761
179	1.672875597
180	1.672830913
181	1.67278424
182	1.672741236
183	1.672685336
184	1.672634528
185	1.672590049
186	1.672534221
187	1.67248573
188	1.672431341
189	1.672381889
190	1.672331252
191	1.672289049
192	1.672245687
193	1.672207542
194	1.672179595
195	1.672128397
196	1.672088164
197	1.672046149
198	1.672014507
199	1.671980651
200	1.671953498
201	1.671903925
202	1.671862218
203	1.671807835
204	1.671771147
205	1.671731248
206	1.671689589
207	1.671636099
208	1.671600273
209	1.671566037
210	1.671530394
211	1.671484248
212	1.671455758
213	1.671372212
214	1.671316214
215	1.671273149
216	1.671229562
217	1.671156523
218	1.671128481
219	1.671055216
220	1.671027857
221	1.670969647
222	1.670925827
223	1.670885149
224	1.670823869
225	1.67078265
226	1.670726767
227	1.670682838
228	1.670616587
229	1.670581067
230	1.670536354
231	1.670504192
232	1.670464655
233	1.670410974
234	1.670358279
235	1.670334501
236	1.670304913
237	1.670264407
238	1.670230667
239	1.670173595
240	1.670131505
241	1.670092767
242	1.670064324
243	1.670035681
244	1.669997013
245	1.669973851
246	1.669943795
247	1.669918611
248	1.669882447
249	1.669851864
250	1.669830412
251	1.669797186
252	1.669772934
253	1.669744323
254	1.669715869
255	1.669659677
256	1.669613956
257	1.66956226
258	1.669538795
259	1.669513188
260	1.669471338
261	1.669436332
262	1.669411101
263	1.669377111
264	1.669343062
265	1.669303216
266	1.669256163
267	1.669209412
268	1.66918159
269	1.669160557
270	1.669140474
271	1.669114483
272	1.669087065
273	1.669052317
274	1.669018574
275	1.668989282
276	1.668979901
277	1.668945987
278	1.668930003
279	1.668897237
280	1.668870532
281	1.668847327
282	1.668825663
283	1.668802287
284	1.668765522
285	1.668732638
286	1.66869799
287	1.668653059
288	1.668622581
289	1.668584936
290	1.668555421
291	1.668531584
292	1.668489925
293	1.668439696
294	1.668393457
295	1.668365102
296	1.668327243
297	1.668299358
298	1.668272624
299	1.668232089
300	1.668207474
301	1.668180665
302	1.668140762
303	1.668113128
304	1.668066478
305	1.668030313
306	1.668006344
307	1.667973664
308	1.667934781
309	1.667904749
310	1.667881869
311	1.667862668
312	1.667826849
313	1.667803075
314	1.667767312
315	1.667737945
316	1.667709045
317	1.667681442
318	1.667635251
319	1.667596548
320	1.667575251
321	1.667554456
322	1.667521601
323	1.667487727
324	1.667458456
325	1.66741871
326	1.66738929
327	1.66735107
328	1.66732285
329	1.667303133
330	1.667281551
331	1.66724294
332	1.667222194
333	1.667180367
334	1.667149977
335	1.667129192
336	1.667099372
337	1.667075947
338	1.66705341
339	1.666994417
340	1.666964216
341	1.666933402
342	1.666905669
343	1.666887396
344	1.666860073
345	1.6668438
346	1.66681222
347	1.66679501
348	1.666772514
349	1.666748781
350	1.666718624
351	1.666665972
352	1.666640179
353	1.666611952
354	1.666582256
355	1.666557646
356	1.666530423
357	1.666495146
358	1.666470552
359	1.666443739
360	1.666426939
361	1.666389912
362	1.666363265
363	1.666347311
364	1.666308528
365	1.666297086
366	1.666272419
367	1.666247701
368	1.666217544
369	1.666202406
370	1.666176265
371	1.666149664
372	1.666127441
373	1.666105126
374	1.6660429
375	1.666023496
376	1.666011655
377	1.665986982
378	1.665961421
379	1.6659419
380	1.665918898
381	1.665890289
382	1.665865084
383	1.665847562
384	1.665829678
385	1.665807142
386	1.665778865
387	1.665745339
388	1.665713197
389	1.665689663
390	1.665659056
391	1.665641467
392	1.665607711
393	1.665588592
394	1.665564544
395	1.665552134
396	1.665528939
397	1.66551315
398	1.665483773
399	1.665451309
400	1.665428417
401	1.665402352
402	1.66537657
403	1.665347843
404	1.665317873
405	1.665291604
406	1.665271424
407	1.665250876
408	1.665228175
409	1.665205207
410	1.665190329
411	1.665161892
412	1.665138172
413	1.665106785
414	1.66508519
415	1.665063212
416	1.665032937
417	1.665013125
418	1.664991962
419	1.664965481
420	1.664936993
421	1.664909911
422	1.664893218
423	1.664866134
424	1.664831842
425	1.664804951
426	1.66477587
427	1.664753712
428	1.664735643
429	1.664721263
430	1.664697443
431	1.664655392
432	1.664624973
433	1.664579474
434	1.664550285
435	1.664524308
436	1.664508272
437	1.664493952
438	1.664465479
439	1.664440339
440	1.664422593
441	1.664397345
442	1.664382143
443	1.664376087
444	1.6643466
445	1.66432245
446	1.664296765
447	1.664277663
448	1.664247642
449	1.66421907
450	1.664198064
451	1.664171819
452	1.664154761
453	1.664127881
454	1.664101712
455	1.664088614
456	1.664061399
457	1.664014596
458	1.663989228
459	1.663967049
460	1.663943953
461	1.663919855
462	1.663894663
463	1.663873308
464	1.663848238
465	1.663836433
466	1.663814536
467	1.663797117
468	1.663781429
469	1.663764856
470	1.663755644
471	1.663740811
472	1.663716988
473	1.66369768
474	1.663675329
475	1.663647295
476	1.663625402
477	1.663613489
478	1.663603615
479	1.663584804
480	1.663567541
481	1.663538531
482	1.663516233
483	1.663487901
484	1.663464704
485	1.663460104
486	1.663431472
487	1.66341084
488	1.663395347
489	1.663377165
490	1.6633403
491	1.663322857
492	1.663299981
493	1.663272943
494	1.663249174
495	1.663225224
496	1.663200295
497	1.663184027
498	1.663163286
499	1.663140516
500	1.663130139
501	1.663114413
502	1.663093141
503	1.663063591
504	1.663042188
505	1.663005109
506	1.662986366
507	1.662965618
508	1.662946084
509	1.662942467
510	1.662935194
511	1.662909843
512	1.662888383
513	1.662853286
514	1.662832755
515	1.662797637
516	1.662771763
517	1.662756261
518	1.662744345
519	1.662724323
520	1.662697845
521	1.662664664
522	1.662644631
523	1.662625485
524	1.662595361
525	1.662575544
526	1.662553419
527	1.662535307
528	1.66251639
529	1.662479406
530	1.662451914
531	1.662426092
532	1.662412984
533	1.662390157
534	1.662373766
535	1.662355513
536	1.662336943
537	1.662325131
538	1.662307823
539	1.66227491
540	1.662250929
541	1.662231367
542	1.662212601
543	1.662193923
544	1.662168032
545	1.662152016
546	1.662133248
547	1.662112423
548	1.662086463
549	1.662071449
550	1.662051766
551	1.66203941
552	1.662013678
553	1.661995471
554	1.661964159
555	1.661941461
556	1.661908416
557	1.661897988
558	1.66188012
559	1.661869406
560	1.661856958
561	1.661838011
562	1.661816907
563	1.661795031
564	1.661779242
565	1.661754781
566	1.661725979
567	1.661708475
568	1.661692053
569	1.661680801
570	1.661661472
571	1.661631428
572	1.661613624
573	1.661589352
574	1.661565188
575	1.66154331
576	1.66152322
577	1.661500333
578	1.661470222
579	1.661448319
580	1.661434289
581	1.661417726
582	1.661380842
583	1.661362528
584	1.661348117
585	1.661331723
586	1.66131403
587	1.661297574
