iter	Passed	Remaining
0	293	5868535
1	501	5017479
2	670	4467169
3	801	4007455
4	947	3790341
5	1064	3548430
6	1190	3400316
7	1301	3252308
8	1415	3144482
9	1537	3073913
10	1659	3016049
11	1777	2960695
12	1963	3018364
13	2181	3114463
14	2314	3083553
15	2451	3061681
16	2572	3023679
17	2695	2992608
18	2822	2968506
19	2933	2930984
20	3087	2937524
21	3223	2926779
22	3346	2907015
23	3463	2883187
24	3592	2870796
25	3713	2852755
26	3855	2851914
27	3980	2839210
28	4096	2821078
29	4217	2807198
30	4348	2801046
31	4470	2789890
32	4571	2766078
33	4695	2757286
34	4811	2744681
35	4914	2725213
36	5038	2718343
37	5140	2700362
38	5264	2694496
39	5372	2680785
40	5497	2676373
41	5607	2664431
42	5713	2651939
43	5829	2643864
44	5949	2638430
45	6058	2627906
46	6174	2621363
47	6285	2612732
48	6406	2608548
49	6513	2599003
50	6639	2596903
51	6780	2601044
52	6902	2597936
53	7022	2594026
54	7125	2583822
55	7244	2580124
56	7370	2578672
57	7503	2579936
58	7619	2575320
59	7735	2570811
60	7851	2566454
61	7962	2560562
62	8075	2555573
63	8192	2552064
64	8318	2551202
65	8439	2548905
66	8535	2539420
67	8657	2537651
68	8784	2537560
69	8900	2534222
70	9006	2528110
71	9119	2524014
72	9264	2529011
73	9409	2533709
74	9556	2538742
75	9718	2547663
76	9869	2553521
77	9998	2553640
78	10136	2556128
79	10264	2555792
80	10393	2555971
81	10528	2557467
82	10666	2559612
83	10801	2561073
84	10946	2564787
85	11101	2570609
86	11236	2571970
87	11382	2575512
88	11534	2580514
89	11682	2584381
90	11819	2585845
91	11953	2586547
92	12103	2590820
93	12239	2591944
94	12366	2591045
95	12497	2591247
96	12636	2592903
97	12773	2593976
98	12911	2595501
99	13057	2598388
100	13175	2595871
101	13318	2598106
102	13461	2600503
103	13602	2602267
104	13734	2602397
105	13855	2600421
106	13967	2596774
107	14069	2591344
108	14183	2588218
109	14297	2585300
110	14418	2583520
111	14528	2579875
112	14641	2576741
113	14754	2573810
114	14880	2573063
115	14990	2569655
116	15103	2566635
117	15222	2564914
118	15333	2561667
119	15432	2556570
120	15546	2554086
121	15660	2551673
122	15762	2547325
123	15879	2545267
124	16010	2545745
125	16132	2544563
126	16238	2540978
127	16361	2540080
128	16464	2536134
129	16599	2537175
130	16705	2533722
131	16826	2532673
132	16948	2531662
133	17059	2529139
134	17165	2525918
135	17293	2525856
136	17407	2523823
137	17533	2523612
