,lineup,allocation
0,"Giannis Antetokounmpo,Russell Westbrook,Jimmy Butler,Kristaps Porzingis,Kevin Love,Ricky Rubio",0.0422915267364646
1,"Giannis Antetokounmpo,Russell Westbrook,Andre Drummond,Kristaps Porzingis,Kevin Love,Robert Covington",0.011295998888697048
2,"Luka Doncic,Russell Westbrook,Jimmy Butler,Rudy Gobert,Kevin Love,Ricky Rubio",0.013733284589291041
3,"James Harden,Russell Westbrook,Jimmy Butler,Kristaps Porzingis,Kevin Love,Ricky Rubio",0.015912863118308796
4,"James Harden,Russell Westbrook,Andre Drummond,Kristaps Porzingis,Kevin Love,Robert Covington",0.01428666238147768
5,"Giannis Antetokounmpo,Russell Westbrook,Jimmy Butler,Donovan Mitchell,Kevin Love,Ricky Rubio",0.010667818693084898
6,"Giannis Antetokounmpo,Russell Westbrook,Andre Drummond,Donovan Mitchell,Kevin Love,Robert Covington",0.01316746918155947
7,"Luka Doncic,Russell Westbrook,Andre Drummond,Kristaps Porzingis,Kelly Oubre Jr.,Ricky Rubio",0.010105995343977625
8,"Luka Doncic,Russell Westbrook,Andre Drummond,Spencer Dinwiddie,Tobias Harris,Ricky Rubio",0.01366505510023324
9,"Luka Doncic,Joel Embiid,Andre Drummond,Kristaps Porzingis,Devonte' Graham,Ricky Rubio",0.022874282111582447
10,"Luka Doncic,Russell Westbrook,Andre Drummond,Devin Booker,Tobias Harris,Robert Covington",0.0423705513899254
11,"Luka Doncic,Russell Westbrook,Deandre Ayton,Devin Booker,Kevin Love,Ricky Rubio",0.021678322228275763
12,"Giannis Antetokounmpo,Joel Embiid,Jimmy Butler,Rudy Gobert,Kevin Love,Ricky Rubio",0.012269737488629369
13,"Giannis Antetokounmpo,Joel Embiid,Andre Drummond,Rudy Gobert,Kevin Love,Robert Covington",0.015719145870443606
14,"Luka Doncic,Russell Westbrook,Bam Adebayo,Devin Booker,Kevin Love,Ricky Rubio",0.07535130409008
15,"Giannis Antetokounmpo,Russell Westbrook,John Collins,Rudy Gobert,Tobias Harris,Ricky Rubio",0.01797859821361523
16,"James Harden,Joel Embiid,Andre Drummond,Rudy Gobert,Kevin Love,Robert Covington",0.020916133879018684
17,"Giannis Antetokounmpo,Joel Embiid,Andre Drummond,Kristaps Porzingis,Kevin Love,Bojan Bogdanovic",0.05646542031007967
18,"Giannis Antetokounmpo,Russell Westbrook,Jimmy Butler,Spencer Dinwiddie,Devonte' Graham,Ricky Rubio",0.010490525582657192
19,"James Harden,Russell Westbrook,John Collins,Rudy Gobert,Tobias Harris,Ricky Rubio",0.02860916675290836
20,"Giannis Antetokounmpo,Joel Embiid,Andre Drummond,Spencer Dinwiddie,Tobias Harris,Ricky Rubio",0.01099529338680529
21,"Giannis Antetokounmpo,Russell Westbrook,Jimmy Butler,Rudy Gobert,Tobias Harris,Bojan Bogdanovic",0.011845308855677366
22,"James Harden,Joel Embiid,Andre Drummond,Kristaps Porzingis,Kevin Love,Bojan Bogdanovic",0.027376359707638364
23,"Giannis Antetokounmpo,Russell Westbrook,Bam Adebayo,Donovan Mitchell,Devonte' Graham,Ricky Rubio",0.011345145913674066
24,"James Harden,Russell Westbrook,Andre Drummond,Spencer Dinwiddie,Devonte' Graham,Robert Covington",0.012012329814856858
25,"Giannis Antetokounmpo,Joel Embiid,Jimmy Butler,Devin Booker,Tobias Harris,Ricky Rubio",0.011815281990558743
26,"Giannis Antetokounmpo,Russell Westbrook,Jimmy Butler,Devin Booker,Devonte' Graham,Robert Covington",0.01785295419041918
27,"James Harden,Russell Westbrook,Jimmy Butler,Rudy Gobert,Tobias Harris,Bojan Bogdanovic",0.013088908457085048
28,"Giannis Antetokounmpo,Joel Embiid,Andre Drummond,Donovan Mitchell,Kevin Love,Bojan Bogdanovic",0.015021666906358498
29,"Luka Doncic,Russell Westbrook,John Collins,Devin Booker,Devonte' Graham,Ricky Rubio",0.05878123109000842
30,"Giannis Antetokounmpo,Joel Embiid,Andre Drummond,Devin Booker,Tobias Harris,Robert Covington",0.037150871271057775
31,"Luka Doncic,Russell Westbrook,Andre Drummond,Spencer Dinwiddie,Devonte' Graham,Bojan Bogdanovic",0.011652202385567238
32,"Giannis Antetokounmpo,Joel Embiid,Deandre Ayton,Devin Booker,Kevin Love,Ricky Rubio",0.02137038004263719
33,"James Harden,Joel Embiid,Jimmy Butler,Devin Booker,Tobias Harris,Ricky Rubio",0.021229388473304432
34,"James Harden,Russell Westbrook,Deandre Ayton,Rudy Gobert,Kevin Love,Bojan Bogdanovic",0.011815376515931834
