Position,Name + ID,Name,ID,Roster Position,Game Info,TeamAbbrev,AvgPointsPerGame
PF,Giannis Antetokounmpo (14452542),Giannis Antetokounmpo,14452542,T1,BOS@MIL 03/12/2020 08:00PM ET,MIL,60.05
PG/SG,James Harden (14452540),James Harden,14452540,T1,HOU@LAL 03/12/2020 10:30PM ET,HOU,59.24
PG/SF,LeBron James (14452541),LeBron James,14452541,T1,HOU@LAL 03/12/2020 10:30PM ET,LAL,55.77
PF/C,Anthony Davis (14452543),Anthony Davis,14452543,T1,HOU@LAL 03/12/2020 10:30PM ET,LAL,51.08
SF/PF,Jayson Tatum (14452547),Jayson Tatum,14452547,T2,BOS@MIL 03/12/2020 08:00PM ET,BOS,42
PG,Damian Lillard (14452546),Damian Lillard,14452546,T2,MEM@POR 03/12/2020 10:00PM ET,POR,49.75
C,Nikola Vucevic (14452545),Nikola Vucevic,14452545,T2,CHI@ORL 03/12/2020 07:00PM ET,ORL,43.36
PG,Russell Westbrook (14452544),Russell Westbrook,14452544,T2,HOU@LAL 03/12/2020 10:30PM ET,HOU,51.32
SF,Khris Middleton (14452550),Khris Middleton,14452550,T3,BOS@MIL 03/12/2020 08:00PM ET,MIL,37.39
C,Hassan Whiteside (14452548),Hassan Whiteside,14452548,T3,MEM@POR 03/12/2020 10:00PM ET,POR,43.15
C,Jonas Valanciunas (14452549),Jonas Valanciunas,14452549,T3,MEM@POR 03/12/2020 10:00PM ET,MEM,34.80
PG,Stephen Curry (14452551),Stephen Curry,14452551,T3,BKN@GS 03/12/2020 10:30PM ET,GS,39.9
SF/PF,Gordon Hayward (14452556),Gordon Hayward,14452556,T4,BOS@MIL 03/12/2020 08:00PM ET,BOS,34.31
PG/SG,CJ McCollum (14452554),CJ McCollum,14452554,T4,MEM@POR 03/12/2020 10:00PM ET,POR,37.39
PF,Aaron Gordon (14452553),Aaron Gordon,14452553,T4,CHI@ORL 03/12/2020 07:00PM ET,ORL,32.71
SG/SF,Caris LeVert (14452552),Caris LeVert,14452552,T4,BKN@GS 03/12/2020 10:30PM ET,BKN,31.35
SG/SF,Andrew Wiggins (14452555),Andrew Wiggins,14452555,T4,BKN@GS 03/12/2020 10:30PM ET,GS,37.21
PG,Kemba Walker (14452560),Kemba Walker,14452560,T5,BOS@MIL 03/12/2020 08:00PM ET,BOS,37.20
PG/SG,Marcus Smart (14452561),Marcus Smart,14452561,T5,BOS@MIL 03/12/2020 08:00PM ET,BOS,30.26
PG,Ja Morant (14452559),Ja Morant,14452559,T5,MEM@POR 03/12/2020 10:00PM ET,MEM,33.97
PG/SG,Coby White (14452558),Coby White,14452558,T5,CHI@ORL 03/12/2020 07:00PM ET,CHI,23.57
PG/SG,Spencer Dinwiddie (14452557),Spencer Dinwiddie,14452557,T5,BKN@GS 03/12/2020 10:30PM ET,BKN,36.75
C,Marquese Chriss (14452563),Marquese Chriss,14452563,T5,BKN@GS 03/12/2020 10:30PM ET,GS,22.99
SF/PF,Robert Covington (14452562),Robert Covington,14452562,T5,HOU@LAL 03/12/2020 10:30PM ET,HOU,28.78
PG,Eric Bledsoe (14452566),Eric Bledsoe,14452566,T6,BOS@MIL 03/12/2020 08:00PM ET,MIL,31.58
PF,Carmelo Anthony (14452570),Carmelo Anthony,14452570,T6,MEM@POR 03/12/2020 10:00PM ET,POR,27.94
PG/SF,Shaquille Harrison (14452564),Shaquille Harrison,14452564,T6,CHI@ORL 03/12/2020 07:00PM ET,CHI,11.54
SG/SF,Terrence Ross (14452565),Terrence Ross,14452565,T6,CHI@ORL 03/12/2020 07:00PM ET,ORL,24.23
PG/SG,Markelle Fultz (14452567),Markelle Fultz,14452567,T6,CHI@ORL 03/12/2020 07:00PM ET,ORL,26.28
SF/PF,Eric Paschall (14452568),Eric Paschall,14452568,T6,BKN@GS 03/12/2020 10:30PM ET,GS,23.98
SG,Damion Lee (14452569),Damion Lee,14452569,T6,BKN@GS 03/12/2020 10:30PM ET,GS,25.40
C,DeAndre Jordan (14452571),DeAndre Jordan,14452571,T6,BKN@GS 03/12/2020 10:30PM ET,BKN,25.83
